2026-06-13 20:05:03.573981,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:21:22.872588,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:22:23.173824,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:24:07.909280,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:26:14.206135,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:28:07.218929,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:30:04.881591,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:32:07.779582,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:34:11.470431,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:36:13.377011,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:38:00.983952,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:40:01.297293,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:42:00.802257,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:44:01.176055,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:46:01.374980,4219.395,135.6567,124.352,118.6996,0.17
2026-06-14 08:48:01.351915,4219.395,135.6567,124.352,118.6996,0.17
